Time(s),Type,X,Y,Z,Magnitude
0.157,GYRO,0.101171,0.113951,0.034079,0.156147
0.158,ACCL,-10.009592,-2.002398,-1.330935,10.294315
0.158,GYRO,0.110756,0.117146,0.029819,0.163949
0.159,GYRO,0.123536,0.120341,0.023429,0.174046
0.160,GYRO,0.128860,0.125666,0.018104,0.180900
0.162,GYRO,0.140575,0.130990,0.012780,0.192570
0.163,ACCL,-10.062350,-1.983213,-1.314149,10.339778
0.163,GYRO,0.149095,0.138445,0.011715,0.203798
0.164,GYRO,0.159744,0.140575,0.007455,0.212921
0.165,GYRO,0.161874,0.143770,0.005325,0.216567
0.166,GYRO,0.171459,0.148030,0.004260,0.226559
0.168,ACCL,-10.067146,-1.865707,-1.251799,10.314810
0.168,GYRO,0.175719,0.153355,0.003195,0.233249
0.169,GYRO,0.179979,0.152290,-0.004260,0.235802
0.170,GYRO,0.182109,0.159744,-0.007455,0.242358
0.171,GYRO,0.190628,0.158679,-0.013845,0.248415
0.173,ACCL,-10.043165,-1.796163,-1.165468,10.268870
0.173,GYRO,0.195953,0.165069,-0.012780,0.256532
0.174,GYRO,0.197018,0.169329,-0.013845,0.260154
0.175,GYRO,0.198083,0.174654,-0.021299,0.264943
0.176,GYRO,0.198083,0.176784,-0.019169,0.266190
0.178,ACCL,-10.038369,-1.712230,-1.033573,10.235666
0.178,GYRO,0.195953,0.177849,-0.017039,0.265176
0.179,GYRO,0.188498,0.178914,-0.022364,0.260848
0.180,GYRO,0.185304,0.178914,-0.023429,0.258643
0.181,GYRO,0.182109,0.176784,-0.030884,0.255675
0.182,ACCL,-10.040767,-1.637890,-0.844125,10.208440
0.182,GYRO,0.182109,0.183174,-0.027689,0.259775
0.184,GYRO,0.178914,0.188498,-0.026624,0.261248
0.185,GYRO,0.169329,0.188498,-0.030884,0.255260
0.186,GYRO,0.161874,0.188498,-0.038339,0.251406
0.187,ACCL,-9.976019,-1.505995,-0.642686,10.109502
0.187,GYRO,0.159744,0.191693,-0.034079,0.251845
0.189,GYRO,0.152290,0.189563,-0.030884,0.245113
0.190,GYRO,0.148030,0.190628,-0.033014,0.243602
0.191,GYRO,0.148030,0.190628,-0.035144,0.243900
0.192,ACCL,-9.894484,-1.414868,-0.282974,9.999137
0.192,GYRO,0.143770,0.191693,-0.036209,0.242337
0.194,GYRO,0.137380,0.190628,-0.038339,0.238081
0.195,GYRO,0.132055,0.187433,-0.042599,0.233205
0.196,GYRO,0.128860,0.188498,-0.042599,0.232274
0.197,ACCL,-9.875300,-1.405276,-0.074341,9.975063
0.197,GYRO,0.122471,0.188498,-0.047923,0.229842
0.198,GYRO,0.112886,0.187433,-0.045793,0.223543
0.200,GYRO,0.107561,0.185304,-0.042599,0.218452
0.201,GYRO,0.106496,0.182109,-0.040469,0.214809
0.202,ACCL,-9.839329,-1.335731,0.270983,9.933277
0.202,GYRO,0.103301,0.183174,-0.042599,0.214566
0.203,GYRO,0.099042,0.182109,-0.044728,0.212069
0.205,GYRO,0.093717,0.175719,-0.047923,0.204833
0.206,GYRO,0.094782,0.175719,-0.044728,0.204600
0.207,ACCL,-9.808153,-1.424460,0.755396,9.939798
0.207,GYRO,0.088392,0.171459,-0.047923,0.198766
0.208,GYRO,0.093717,0.161874,-0.056443,0.195376
0.210,GYRO,0.091587,0.160809,-0.047923,0.191166
0.211,GYRO,0.091587,0.157614,-0.046858,0.188218
0.212,ACCL,-9.800959,-1.537170,1.263789,10.000943
0.212,GYRO,0.089457,0.150160,-0.052183,0.182410
0.213,GYRO,0.085197,0.142705,-0.058573,0.176222
0.215,GYRO,0.084132,0.136315,-0.059638,0.170929
0.216,GYRO,0.083067,0.128860,-0.061768,0.165289
0.217,ACCL,-9.892086,-1.762590,1.767386,10.202144
0.217,GYRO,0.079872,0.116081,-0.068158,0.156524
0.218,GYRO,0.082002,0.112886,-0.072417,0.157200
0.219,GYRO,0.080937,0.105431,-0.072417,0.151363
0.221,GYRO,0.071353,0.093717,-0.075612,0.139969
0.222,ACCL,-9.937650,-1.952038,2.095923,10.342158
0.222,GYRO,0.070288,0.083067,-0.078807,0.134354
0.223,GYRO,0.067093,0.069223,-0.090522,0.132240
0.224,GYRO,0.068158,0.067093,-0.094782,0.134649
0.226,GYRO,0.062833,0.059638,-0.093717,0.127622
0.227,ACCL,-9.942446,-1.944844,2.023981,10.331077
0.227,GYRO,0.052183,0.046858,-0.095847,0.118766
0.228,GYRO,0.044728,0.041534,-0.095847,0.113632
0.229,GYRO,0.046858,0.035144,-0.100106,0.115983
0.231,GYRO,0.037274,0.026624,-0.105431,0.114952
0.232,ACCL,-9.918465,-1.913669,1.764988,10.254427
0.232,GYRO,0.028754,0.023429,-0.105431,0.111765
0.233,GYRO,0.022364,0.019169,-0.106496,0.110495
0.234,GYRO,0.014909,0.013845,-0.106496,0.108422
0.235,GYRO,0.014909,0.010650,-0.110756,0.112261
0.237,ACCL,-9.992806,-2.031175,1.719424,10.341096
0.237,GYRO,0.006390,-0.002130,-0.120341,0.120529
0.238,GYRO,0.002130,-0.012780,-0.125666,0.126332
0.239,GYRO,0.003195,-0.023429,-0.127796,0.129965
0.240,GYRO,-0.001065,-0.024494,-0.135250,0.137454
0.242,ACCL,-10.112710,-2.083933,1.458034,10.427633
0.242,GYRO,-0.009585,-0.025559,-0.142705,0.145292
0.243,GYRO,-0.020234,-0.029819,-0.146965,0.151318
0.244,GYRO,-0.027689,-0.035144,-0.150160,0.156683
0.245,GYRO,-0.033014,-0.037274,-0.150160,0.158200
0.247,ACCL,-10.167866,-1.817746,0.880096,10.366497
0.247,GYRO,-0.036209,-0.040469,-0.152290,0.161682
0.248,GYRO,-0.041534,-0.045793,-0.156550,0.168315
0.249,GYRO,-0.046858,-0.047923,-0.155485,0.169316
0.250,GYRO,-0.048988,-0.048988,-0.153355,0.168278
0.252,ACCL,-10.115108,-1.525180,0.484412,10.240910
0.252,GYRO,-0.048988,-0.051118,-0.155485,0.170846
0.253,GYRO,-0.043663,-0.052183,-0.161874,0.175593
0.254,GYRO,-0.043663,-0.053248,-0.161874,0.175912
0.255,GYRO,-0.044728,-0.053248,-0.159744,0.174225
0.256,ACCL,-10.069544,-1.364508,0.139089,10.162527
0.256,GYRO,-0.038339,-0.053248,-0.160809,0.173680
0.258,GYRO,-0.036209,-0.050053,-0.165069,0.176251
0.259,GYRO,-0.029819,-0.054313,-0.166134,0.177312
0.260,GYRO,-0.021299,-0.055378,-0.166134,0.176411
0.261,ACCL,-10.035971,-1.110312,-0.179856,10.098805
0.261,GYRO,-0.013845,-0.054313,-0.164004,0.173318
0.263,GYRO,-0.007455,-0.044728,-0.164004,0.170158
0.264,GYRO,-0.010650,-0.051118,-0.162939,0.171101
0.265,GYRO,-0.013845,-0.050053,-0.161874,0.170001
0.266,ACCL,-10.021583,-0.923261,-0.494005,10.076139
0.266,GYRO,-0.010650,-0.047923,-0.159744,0.167118
0.268,GYRO,-0.010650,-0.050053,-0.165069,0.172820
0.269,GYRO,-0.013845,-0.046858,-0.162939,0.170108
0.270,GYRO,-0.011715,-0.041534,-0.160809,0.166499
0.271,ACCL,-9.928058,-0.836930,-0.697842,9.987681
0.271,GYRO,-0.015974,-0.038339,-0.159744,0.165055
0.272,GYRO,-0.015974,-0.040469,-0.157614,0.163509
0.274,GYRO,-0.019169,-0.040469,-0.159744,0.165902
0.275,GYRO,-0.020234,-0.039404,-0.161874,0.167825
0.276,ACCL,-9.911271,-0.733813,-0.729017,9.965101
0.276,GYRO,-0.023429,-0.039404,-0.165069,0.171317
0.277,GYRO,-0.025559,-0.036209,-0.176784,0.182255
0.279,GYRO,-0.030884,-0.031949,-0.198083,0.203006
0.280,GYRO,-0.029819,-0.027689,-0.178914,0.183483
0.281,ACCL,-9.743405,-0.127098,-0.719424,9.770756
0.281,GYRO,-0.028754,-0.038339,-0.126731,0.135489
0.282,GYRO,-0.029819,-0.039404,-0.100106,0.111638
0.284,GYRO,-0.027689,-0.028754,-0.119276,0.125778
0.285,GYRO,-0.029819,-0.025559,-0.142705,0.148011
0.286,ACCL,-9.896882,-0.455635,-0.863309,9.944908
0.286,GYRO,-0.025559,-0.025559,-0.146965,0.151345
0.287,GYRO,-0.019169,-0.026624,-0.146965,0.150582
0.288,GYRO,-0.014909,-0.026624,-0.164004,0.166819
0.290,GYRO,-0.006390,-0.022364,-0.176784,0.178307
0.291,ACCL,-9.875300,-0.354916,-0.824940,9.916049
0.291,GYRO,-0.001065,-0.020234,-0.165069,0.166308
0.292,GYRO,0.004260,-0.021299,-0.133120,0.134881
0.293,GYRO,0.006390,-0.018104,-0.108626,0.110310
0.295,GYRO,0.011715,-0.006390,-0.101171,0.102048
0.296,ACCL,-9.719424,0.199041,-0.839329,9.757628
0.296,GYRO,0.009585,-0.007455,-0.108626,0.109303
0.297,GYRO,0.011715,-0.014909,-0.109691,0.111318
0.298,GYRO,0.012780,-0.007455,-0.115016,0.115964
0.300,GYRO,0.017039,-0.008520,-0.130990,0.132368
0.301,ACCL,-9.904077,-0.230216,-0.736211,9.934070
0.301,GYRO,0.019169,-0.006390,-0.142705,0.144128
0.302,GYRO,0.017039,-0.004260,-0.138445,0.139555
0.303,GYRO,0.011715,-0.006390,-0.112886,0.113672
0.305,GYRO,0.010650,-0.006390,-0.099042,0.099817
0.306,ACCL,-9.719424,0.306954,-0.529976,9.738702
0.306,GYRO,0.010650,-0.003195,-0.090522,0.091202
0.307,GYRO,0.005325,-0.008520,-0.083067,0.083672
0.308,GYRO,-0.004260,-0.007455,-0.079872,0.080332
0.309,GYRO,-0.009585,-0.008520,-0.078807,0.079844
0.311,ACCL,-9.784173,0.158273,-0.321343,9.790728
0.311,GYRO,-0.011715,-0.008520,-0.092652,0.093777
0.312,GYRO,-0.021299,-0.010650,-0.102236,0.104973
0.313,GYRO,-0.031949,-0.008520,-0.102236,0.107450
0.314,GYRO,-0.039404,-0.012780,-0.093717,0.102464
0.316,ACCL,-9.733813,0.251799,-0.086331,9.737452
0.316,GYRO,-0.046858,-0.013845,-0.079872,0.093632
0.317,GYRO,-0.051118,-0.020234,-0.070288,0.089235
0.318,GYRO,-0.056443,-0.026624,-0.064963,0.090082
0.319,GYRO,-0.064963,-0.027689,-0.053248,0.088443
0.321,ACCL,-9.676259,0.484412,0.086331,9.688761
0.321,GYRO,-0.074547,-0.028754,-0.048988,0.093723
0.322,GYRO,-0.078807,-0.027689,-0.050053,0.097379
0.323,GYRO,-0.087327,-0.031949,-0.051118,0.106112
0.324,GYRO,-0.093717,-0.029819,-0.057508,0.113926
0.325,ACCL,-9.752998,0.282974,-0.095923,9.757573
0.325,GYRO,-0.103301,-0.028754,-0.057508,0.121676
0.327,GYRO,-0.111821,-0.031949,-0.047923,0.125783
0.328,GYRO,-0.121406,-0.035144,-0.044728,0.134071
0.329,GYRO,-0.130990,-0.037274,-0.036209,0.140922
0.330,ACCL,-9.604317,0.479616,-0.117506,9.617002
0.330,GYRO,-0.137380,-0.042599,-0.024494,0.145904
0.332,GYRO,-0.145900,-0.042599,-0.019169,0.153196
0.333,GYRO,-0.149095,-0.042599,-0.017039,0.155994
0.334,GYRO,-0.156550,-0.044728,-0.017039,0.163703
0.335,ACCL,-9.654676,0.254197,-0.227818,9.660709
0.335,GYRO,-0.161874,-0.044728,-0.020234,0.169155
0.337,GYRO,-0.165069,-0.045793,-0.018104,0.172258
0.338,GYRO,-0.171459,-0.044728,-0.015974,0.177916
0.339,GYRO,-0.170394,-0.044728,-0.018104,0.177095
0.340,ACCL,-9.669065,0.002398,-0.333333,9.674809
0.340,GYRO,-0.173589,-0.047923,-0.010650,0.180397
0.342,GYRO,-0.178914,-0.050053,-0.005325,0.185860
0.343,GYRO,-0.176784,-0.050053,-0.003195,0.183761
0.344,GYRO,-0.173589,-0.047923,-0.002130,0.180095
0.345,ACCL,-9.721823,-0.280576,-0.525180,9.740040
0.345,GYRO,-0.169329,-0.045793,-0.006390,0.175528
0.346,GYRO,-0.167199,-0.045793,-0.006390,0.173475
0.348,GYRO,-0.162939,-0.047923,-0.012780,0.170321
0.349,GYRO,-0.160809,-0.043663,-0.011715,0.167043
0.350,ACCL,-9.791367,-0.537170,-0.565947,9.822409
0.350,GYRO,-0.155485,-0.041534,-0.014909,0.161625
0.351,GYRO,-0.146965,-0.043663,-0.018104,0.154379
0.353,GYRO,-0.143770,-0.046858,-0.011715,0.151667
0.354,GYRO,-0.138445,-0.043663,-0.010650,0.145557
0.355,ACCL,-9.827338,-0.505995,-0.505995,9.853357
0.355,GYRO,-0.128860,-0.040469,-0.009585,0.135405
0.356,GYRO,-0.125666,-0.037274,-0.013845,0.131806
0.358,GYRO,-0.122471,-0.038339,-0.017039,0.129458
0.359,GYRO,-0.115016,-0.044728,-0.017039,0.124578
0.360,ACCL,-9.906475,-0.498801,-0.465228,9.929929
0.360,GYRO,-0.111821,-0.039404,-0.019169,0.120100
0.361,GYRO,-0.105431,-0.035144,-0.020234,0.112961
0.362,GYRO,-0.099042,-0.035144,-0.025559,0.108155
0.364,GYRO,-0.099042,-0.037274,-0.025559,0.108866
0.365,ACCL,-9.930456,-0.350120,-0.505995,9.949501
0.365,GYRO,-0.094782,-0.039404,-0.019169,0.104421
0.366,GYRO,-0.095847,-0.039404,-0.017039,0.105022
0.367,GYRO,-0.094782,-0.038339,-0.014909,0.103323
